ideal_pitch_vel,init_pitch_pos,left_control_once_pitch,left_control_total_pitch,passfilter_pres_pitch_pos,passfilter_pres_pitch_vel,pres_pitch_pos,pres_pitch_vel,right_control_once_pitch,right_control_total_pitch,smaple_times_count
0.000000,none,0.014748,0.161912,0.281433,-15.845752,-0.708686,0.361864,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.005635,-9.568914,-0.504964,6.790759,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.133530,-4.263194,-0.297789,6.905812,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.126792,0.224604,0.072426,12.340522,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.038280,2.950426,0.221750,4.977441,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,0.048919,2.906616,0.241319,0.652309,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,0.099155,1.674522,0.167403,-2.463874,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,0.098517,-0.021235,0.026965,-4.681268,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,0.031587,-2.231024,-0.244130,-9.036487,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.079911,-3.716597,-0.382701,-4.619045,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.219531,-4.653996,-0.641159,-8.615262,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.355038,-4.516893,-0.636488,0.155697,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.438832,-2.793137,-0.592150,1.477957,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.454799,-0.532245,-0.384331,6.927287,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.425210,0.986298,-0.342159,1.405727,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.295758,4.315078,0.292852,21.167038,0.000000,0.000000,30.000000
0.000000,none,0.014748,0.161912,-0.091397,6.812018,0.380316,2.915465,0.000000,0.000000,30.000000
0.000000,none,-0.015774,0.177687,0.066346,5.258111,0.413083,1.092251,0.000000,0.000000,30.000000
0.000000,none,-0.009641,0.187327,0.162753,3.213562,0.316223,-3.228693,0.000000,0.000000,30.000000
0.000000,none,0.021421,0.165906,-0.051458,-7.140350,-1.316358,-54.419365,0.000000,0.000000,30.000000
0.000000,none,0.040222,0.125684,-0.453676,-13.407286,-1.275688,1.355680,0.000000,0.000000,30.000000
0.000000,none,0.028128,0.097557,-0.734954,-9.375936,-1.372357,-3.222311,0.000000,0.000000,30.000000
0.000000,none,0.018251,0.079305,-0.917466,-6.083721,-1.227030,4.844256,0.000000,0.000000,30.000000
0.000000,none,0.005780,0.073526,-0.975264,-1.926584,-0.965588,8.714714,0.000000,0.000000,30.000000
0.000000,none,0.005652,0.067874,-1.031784,-1.884001,-1.334719,-12.304368,0.000000,0.000000,30.000000
0.000000,none,0.005652,0.067874,-0.955708,2.535865,-0.258058,35.888702,0.000000,0.000000,30.000000
0.000000,none,0.005652,0.067874,-0.656146,9.985382,0.200474,15.284394,0.000000,0.000000,30.000000
0.000000,none,0.005652,0.067874,-0.251458,13.489605,0.991643,26.372318,0.000000,0.000000,30.000000
0.000000,none,0.005652,0.067874,0.178619,14.335907,1.166973,5.844319,0.000000,0.000000,30.000000
0.000000,none,0.005652,0.067874,0.510197,11.052578,1.242234,2.508692,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.707867,6.589025,1.001448,-8.026175,-0.019767,0.019767,30.000000
0.000000,none,0.000000,0.000000,0.747222,1.311824,0.657837,-11.453704,-0.003935,0.023703,30.000000
0.000000,none,0.000000,0.000000,0.631498,-3.857459,0.120454,-17.912760,0.011572,0.012130,30.000000
0.000000,none,0.000000,0.000000,0.305230,-10.875605,-0.876565,-33.233990,0.032627,-0.020497,30.000000
0.000000,none,0.000000,0.000000,-0.106521,-13.725050,-1.061098,-6.151084,0.041175,-0.061672,30.000000
0.000000,none,0.000000,0.000000,-0.377859,-9.044595,-0.831120,7.665910,0.027134,-0.088806,30.000000
0.000000,none,0.000000,0.000000,-0.474682,-3.227428,-0.523789,10.244391,0.009682,-0.098488,30.000000
0.000000,none,0.000000,0.000000,-0.502117,-0.914483,-0.595357,-2.385600,0.002743,-0.101231,30.000000
0.000000,none,0.000000,0.000000,-0.467034,1.169421,-0.191771,13.452872,0.002743,-0.101231,30.000000
0.000000,none,0.000000,0.000000,-0.327230,4.660123,0.122875,10.488195,0.002743,-0.101231,30.000000
0.000000,none,0.000000,0.000000,-0.140428,6.226737,0.378687,8.527071,0.002743,-0.101231,30.000000
0.000000,none,0.000000,0.000000,0.079071,7.316634,0.698826,10.671268,0.002743,-0.101231,30.000000
0.000000,none,0.000000,0.000000,0.306897,7.594196,0.869218,5.679740,0.002743,-0.101231,30.000000
0.000000,none,-0.018219,0.018219,0.489090,6.073115,0.872082,0.095487,0.000000,0.000000,30.000000
0.000000,none,-0.003857,0.022077,0.527664,1.285797,0.344816,-17.575548,0.000000,0.000000,30.000000
0.000000,none,0.013346,0.008730,0.394200,-4.448806,-0.115428,-15.341455,0.000000,0.000000,30.000000
0.000000,none,0.008173,0.000557,0.312465,-2.724485,0.398016,17.114780,0.000000,0.000000,30.000000
0.000000,none,-0.007227,0.007784,0.384739,2.409112,0.674181,9.205508,0.000000,0.000000,30.000000
0.000000,none,-0.010007,0.017792,0.484813,3.335808,0.714608,1.347586,0.000000,0.000000,30.000000
0.000000,none,-0.003845,0.021636,0.523259,1.281548,0.492946,-7.388738,0.000000,0.000000,30.000000
0.000000,none,0.002626,0.019010,0.496995,-0.875466,0.391041,-3.396843,0.000000,0.000000,30.000000
0.000000,none,0.002626,0.019010,0.422945,-2.468353,0.144691,-8.211678,0.000000,0.000000,30.000000
0.000000,none,0.002626,0.019010,0.350890,-2.401839,0.255288,3.686579,0.000000,0.000000,30.000000
0.000000,none,0.002626,0.019010,0.381810,1.030659,0.637841,12.751749,0.000000,0.000000,30.000000
0.000000,none,0.002626,0.019010,0.485196,3.446215,0.765588,4.258251,0.000000,0.000000,30.000000
0.000000,none,0.002626,0.019010,0.639375,5.139290,1.158942,13.111796,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.802100,5.424164,1.126835,-1.070241,-0.016272,0.016272,30.000000
0.000000,none,0.000000,0.000000,0.897939,3.194663,1.070475,-1.878671,-0.009584,0.025856,30.000000
0.000000,none,0.000000,0.000000,0.925374,0.914487,0.895189,-5.842858,-0.002743,0.028600,30.000000
0.000000,none,0.000000,0.000000,0.732971,-6.413423,-0.235119,-37.676941,0.019240,0.009360,30.000000
0.000000,none,0.000000,0.000000,0.441322,-9.721649,-0.103807,4.377093,0.029165,-0.019805,30.000000
0.000000,none,0.000000,0.000000,0.405289,-1.201105,0.763462,28.908955,0.003603,-0.023409,30.000000
0.000000,none,0.000000,0.000000,0.642879,7.919659,1.517443,25.132690,-0.023759,0.000350,30.000000
0.000000,none,0.000000,0.000000,0.905431,8.751759,1.393126,-4.143874,-0.026255,0.026606,30.000000
0.000000,none,0.000000,0.000000,0.965271,1.994664,0.788061,-20.168848,-0.026255,0.026606,30.000000
0.000000,none,0.000000,0.000000,0.887236,-2.601180,0.659565,-4.283202,-0.026255,0.026606,30.000000
0.000000,none,0.000000,0.000000,0.807791,-2.648160,0.623268,-1.209907,-0.026255,0.026606,30.000000
0.000000,none,0.000000,0.000000,0.759204,-1.619572,0.691637,2.278990,-0.026255,0.026606,30.000000
0.000000,none,0.000000,0.000000,0.737165,-0.734631,0.690387,-0.041687,-0.026255,0.026606,30.000000
0.000000,none,0.002055,-0.002055,0.716618,-0.684889,0.656794,-1.119749,0.000000,0.000000,30.000000
0.000000,none,0.013373,-0.015428,0.582885,-4.457786,-0.051164,-23.598612,0.000000,0.000000,30.000000
0.000000,none,0.000767,-0.016195,0.575215,-0.255667,1.169471,40.687836,0.000000,0.000000,30.000000
0.000000,none,0.008605,-0.024800,0.489167,-2.868255,-0.551544,-57.367180,0.000000,0.000000,30.000000
0.000000,none,0.042886,-0.067686,0.060305,-14.295385,-1.124129,-19.086164,0.000000,0.000000,30.000000
0.000000,none,0.028586,-0.096272,-0.225552,-9.528579,-0.524288,19.994698,0.000000,0.000000,30.000000
0.000000,none,0.011637,-0.107909,-0.341926,-3.879122,-0.646996,-4.090240,0.000000,0.000000,30.000000
0.000000,none,-0.003540,-0.104369,-0.306522,1.180127,0.182239,27.641146,0.000000,0.000000,30.000000
0.000000,none,-0.003540,-0.104369,-0.059259,8.242076,0.734899,18.421999,0.000000,0.000000,30.000000
0.000000,none,-0.003540,-0.104369,0.301230,12.016323,1.377473,21.419140,0.000000,0.000000,30.000000
0.000000,none,-0.003540,-0.104369,0.698805,13.252486,1.685380,10.263575,0.000000,0.000000,30.000000
0.000000,none,-0.003540,-0.104369,1.086400,12.919847,2.110868,14.182941,0.000000,0.000000,30.000000
0.000000,none,-0.003540,-0.104369,1.431419,11.500645,2.197091,2.874088,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,1.631480,6.668670,1.903829,-9.775412,-0.020006,0.020006,30.000000
0.000000,none,0.000000,0.000000,1.793160,5.389359,2.359702,15.195771,-0.016168,0.036174,30.000000
0.000000,none,0.000000,0.000000,1.689242,-3.463942,0.583531,-59.205692,0.010392,0.025782,30.000000
0.000000,none,0.000000,0.000000,1.118981,-19.008698,-0.734098,-43.920971,0.057026,-0.031244,30.000000
0.000000,none,0.000000,0.000000,0.334574,-26.146919,-1.882241,-38.271435,0.078441,-0.109685,30.000000
0.000000,none,0.000000,0.000000,-0.373215,-23.592953,-1.828761,1.782656,0.070779,-0.180463,30.000000
0.000000,none,0.000000,0.000000,-0.942941,-18.990871,-2.443423,-20.488710,0.056973,-0.237436,30.000000
0.000000,none,0.000000,0.000000,-1.489549,-18.220257,-2.825148,-12.724193,0.054661,-0.292097,30.000000
0.000000,none,0.000000,0.000000,-1.893811,-13.475390,-2.655733,5.647182,0.054661,-0.292097,30.000000
0.000000,none,0.000000,0.000000,-2.070612,-5.893389,-2.226037,14.323187,0.054661,-0.292097,30.000000
0.000000,none,0.000000,0.000000,-2.081748,-0.371181,-1.984111,8.064195,0.054661,-0.292097,30.000000
0.000000,none,0.000000,0.000000,-1.846246,7.850058,-0.721994,42.070595,0.054661,-0.292097,30.000000
0.000000,none,0.000000,0.000000,-1.355124,16.370728,0.068799,26.359745,0.054661,-0.292097,30.000000
0.000000,none,-0.075538,0.075538,-0.599741,25.179441,1.895635,60.894554,0.000000,0.000000,30.000000
0.000000,none,-0.099625,0.175163,0.396510,33.208374,3.070181,39.151527,0.000000,0.000000,30.000000
0.000000,none,-0.074536,0.249700,1.141872,24.845377,2.335511,-24.488998,0.000000,0.000000,30.000000
0.000000,none,-0.054937,0.304637,1.691244,18.312407,3.348029,33.750599,0.000000,0.000000,30.000000
0.000000,none,-0.045048,0.349685,2.141726,15.016077,2.822279,-17.525013,0.000000,0.000000,30.000000
0.000000,none,-0.018849,0.368534,2.330219,6.283113,2.627677,-6.486710,0.000000,0.000000,30.000000
0.000000,none,-0.010865,0.379400,2.438872,3.621771,2.705175,2.583257,0.000000,0.000000,30.000000
0.000000,none,0.021039,0.358361,2.228483,-7.012970,0.870591,-61.152809,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,7.359200,171.023895,35.337841,1148.908325,-0.513072,0.513072,30.000000
0.000000,none,0.000000,0.000000,16.401577,301.412537,35.339367,0.050863,-0.904238,1.417309,30.000000
